event_id,published_at,source,asset,event_type,direction_hypothesis,time_horizon,return_1h_pct,return_4h_pct,return_24h_pct,benchmark,abnormal_return_4h_pct,flow_direction,smart_money_direction,technical_direction,hypothesis_alignment,attribution_level,causality_status,confidence,title,url,conclusion
news-001-BTC,2026-08-18T10:42:39+00:00,TechFlow 深潮,BTC,stablecoin,negative,intraday_to_1w,0.2311,,,,,unavailable,unavailable,unavailable,opposed,L1,temporal_association,0.4,马克・库班预言芯片将成为新加密资产，这次会翻车吗？,https://www.techflowpost.com/article/detail_33348.html,BTC 缺少与事件时点对齐的价格窗口，当前只保留事件背景。
news-001-COIN,2026-08-18T10:42:39+00:00,TechFlow 深潮,COIN,stablecoin,negative,intraday_to_1w,,,,,,unavailable,unavailable,unavailable,inconclusive,L0,event_context_only,0.2,马克・库班预言芯片将成为新加密资产，这次会翻车吗？,https://www.techflowpost.com/article/detail_33348.html,COIN 缺少与事件时点对齐的价格窗口，当前只保留事件背景。
news-002-NVDA,2026-08-18T10:17:49+00:00,TechFlow 深潮,NVDA,rwa,positive,1d_to_4w,0.0011,,,SPY,,unavailable,unavailable,negative,inconclusive,L1,temporal_association,0.4,Bitget 首发推出美股 FCN 固定票息票据，最高可享 71% APR,https://www.techflowpost.com/newsletter/detail_132445.html,NVDA 缺少与事件时点对齐的价格窗口，当前只保留事件背景。
news-003-BTC,2026-08-18T10:41:13+00:00,TechFlow 深潮,BTC,earnings,mixed,intraday_to_3d,0.2311,,,,,unavailable,unavailable,unavailable,inconclusive,L1,temporal_association,0.4,比特币矿企 all in AI，代价是什么？,https://www.techflowpost.com/article/detail_33347.html,BTC 缺少与事件时点对齐的价格窗口，当前只保留事件背景。
news-003-RIOT,2026-08-18T10:41:13+00:00,TechFlow 深潮,RIOT,earnings,mixed,intraday_to_3d,,,,,,unavailable,unavailable,unavailable,inconclusive,L0,event_context_only,0.2,比特币矿企 all in AI，代价是什么？,https://www.techflowpost.com/article/detail_33347.html,RIOT 缺少与事件时点对齐的价格窗口，当前只保留事件背景。
news-003-MARA,2026-08-18T10:41:13+00:00,TechFlow 深潮,MARA,earnings,mixed,intraday_to_3d,0.1625,,,SPY,,unavailable,unavailable,negative,inconclusive,L1,temporal_association,0.4,比特币矿企 all in AI，代价是什么？,https://www.techflowpost.com/article/detail_33347.html,MARA 缺少与事件时点对齐的价格窗口，当前只保留事件背景。
news-007-SOL,2026-08-18T12:22:30+00:00,TechFlow 深潮,SOL,rwa,unclear,1d_to_4w,,,,,,unavailable,unavailable,unavailable,inconclusive,L0,event_context_only,0.2,USDC Treasury 在 Solana 链上增发 2.5 亿枚 USDC,https://www.techflowpost.com/newsletter/detail_132463.html,SOL 缺少与事件时点对齐的价格窗口，当前只保留事件背景。
news-008-BNB,2026-08-18T01:28:37+00:00,Cointelegraph,BNB,rwa,positive,1d_to_4w,,,,,,unavailable,unavailable,unavailable,inconclusive,L0,event_context_only,0.2,"‘Fabricated rumors’ about BitMart founder, Binance bStocks dominate: Asia Express",https://cointelegraph.com/magazine/fabricated-rumors-about-bitmart-founder-binance-bstocks-dominate-asia-express?utm_source=rss_feed&utm_medium=rss&utm_campaign=rss_partner_inbound,BNB 缺少与事件时点对齐的价格窗口，当前只保留事件背景。
news-009-BTC,2026-08-18T12:09:59+00:00,TechFlow 深潮,BTC,exchange,unclear,intraday_to_3d,0.0,,,,,unavailable,unavailable,unavailable,inconclusive,L1,temporal_association,0.4,不丹王国政府转移 300 枚 BTC 至新钱包，价值约 1928 万美元,https://www.techflowpost.com/newsletter/detail_132461.html,BTC 缺少与事件时点对齐的价格窗口，当前只保留事件背景。
news-009-BNB,2026-08-18T12:09:59+00:00,TechFlow 深潮,BNB,exchange,unclear,intraday_to_3d,,,,,,unavailable,unavailable,unavailable,inconclusive,L0,event_context_only,0.2,不丹王国政府转移 300 枚 BTC 至新钱包，价值约 1928 万美元,https://www.techflowpost.com/newsletter/detail_132461.html,BNB 缺少与事件时点对齐的价格窗口，当前只保留事件背景。
news-014-BNB,2026-08-18T10:15:48+00:00,TechFlow 深潮,BNB,exchange,positive,intraday_to_3d,,,,,,unavailable,unavailable,unavailable,inconclusive,L0,event_context_only,0.2,早期买入牛来地址将 121 美元变为 31.1 万美元，收益约 2527 倍,https://www.techflowpost.com/newsletter/detail_132444.html,BNB 缺少与事件时点对齐的价格窗口，当前只保留事件背景。
